ERROR:root:Error fetching data for number 107: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-107')
ERROR:root:Error fetching data for number 108: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-108')
ERROR:root:Error fetching data for number 146: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-146')
ERROR:root:Error fetching data for number 64: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-64')
ERROR:root:Error fetching data for number 111: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-111')
ERROR:root:Error fetching data for number 132: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-132')
ERROR:root:Error fetching data for number 80: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-80')
ERROR:root:Error fetching data for number 119: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-119')
ERROR:root:Error fetching data for number 144: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-144')
ERROR:root:Error fetching data for number 135: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-135')
ERROR:root:Error fetching data for number 93: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-93')
ERROR:root:Error fetching data for number 143: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-143')
ERROR:root:Error fetching data for number 85: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-85')
ERROR:root:Error fetching data for number 61: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-61')
ERROR:root:Error fetching data for number 116: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-116')
ERROR:root:Error fetching data for number 100: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-100')
ERROR:root:Error fetching data for number 126: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-126')
ERROR:root:Error fetching data for number 43: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-43')
ERROR:root:Error fetching data for number 95: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-95')
ERROR:root:Error fetching data for number 136: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-136')
ERROR:root:Error fetching data for number 145: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-145')
ERROR:root:Error fetching data for number 139: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-139')
ERROR:root:Error fetching data for number 83: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-83')
ERROR:root:Error fetching data for number 123: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-123')
ERROR:root:Error fetching data for number 114: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-114')
ERROR:root:Error fetching data for number 81: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-81')
ERROR:root:Error fetching data for number 146: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-146')
ERROR:root:Error fetching data for number 107: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-107')
ERROR:root:Error fetching data for number 103: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-103')
ERROR:root:Error fetching data for number 108: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-108')
ERROR:root:Error fetching data for number 64: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-64')
ERROR:root:Error fetching data for number 80: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-80')
ERROR:root:Error fetching data for number 111: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-111')
ERROR:root:Error fetching data for number 132: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-132')
ERROR:root:Error fetching data for number 119: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-119')
ERROR:root:Error fetching data for number 144: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-144')
ERROR:root:Error fetching data for number 135: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-135')
ERROR:root:Error fetching data for number 93: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-93')
ERROR:root:Error fetching data for number 61: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-61')
ERROR:root:Error fetching data for number 100: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-100')
ERROR:root:Error fetching data for number 43: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-43')
ERROR:root:Error fetching data for number 143: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-143')
ERROR:root:Error fetching data for number 85: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-85')
ERROR:root:Error fetching data for number 116: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-116')
ERROR:root:Error fetching data for number 136: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-136')
ERROR:root:Error fetching data for number 126: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-126')
ERROR:root:Error fetching data for number 145: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-145')
ERROR:root:Error fetching data for number 95: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-95')
ERROR:root:Error fetching data for number 139: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-139')
ERROR:root:Error fetching data for number 83: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-83')
ERROR:root:Error fetching data for number 123: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-123')
ERROR:root:Error fetching data for number 114: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-114')
ERROR:root:Error fetching data for number 103: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-103')
ERROR:root:Error fetching data for number 107: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-107')
ERROR:root:Error fetching data for number 81: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-81')
ERROR:root:Error fetching data for number 146: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-146')
ERROR:root:Error fetching data for number 64: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-64')
ERROR:root:Error fetching data for number 108: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-108')
ERROR:root:Error fetching data for number 80: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-80')
ERROR:root:Error fetching data for number 111: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-111')
ERROR:root:Error fetching data for number 132: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-132')
ERROR:root:Error fetching data for number 119: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-119')
ERROR:root:Error fetching data for number 144: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-144')
ERROR:root:Error fetching data for number 135: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-135')
ERROR:root:Error fetching data for number 93: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-93')
ERROR:root:Error fetching data for number 85: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-85')
ERROR:root:Error fetching data for number 43: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-43')
ERROR:root:Error fetching data for number 100: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-100')
ERROR:root:Error fetching data for number 61: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-61')
ERROR:root:Error fetching data for number 116: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-116')
ERROR:root:Error fetching data for number 143: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-143')
ERROR:root:Error fetching data for number 126: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-126')
ERROR:root:Error fetching data for number 136: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-136')
ERROR:root:Error fetching data for number 145: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-145')
ERROR:root:Error fetching data for number 95: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-95')
